Volume,Floor-AbsArea,Wall-AbsArea,Ceiling-AbsArea,Measured-Tmf
274.42,3.04,20.88,32.76,0.7
278.18,3.54,8.26,56.7,0.53
181.91,9.2,12.92,20.68,0.71
182.05,9.2,12.82,22.3,0.69
